cell5m,gdd
2165272,1207
2165273,1207
2165274,1207
2165275,1207
2165276,1196
2165277,1196
2165278,1196
2165279,1196
2165280,1196
2165281,1196
2165282,1196
2165283,1196
2165284,1188
2165285,1188
2165286,1188
2165287,1188
2165288,1188
2165289,1188
2165290,1188
2165291,1187
2165292,1187
2165293,1187
2165294,1187
2165295,1187
2165296,1187
2165297,1187
2165298,1187
2165299,1174
2165300,1174
2165301,1174
2165302,1174
2165303,1174
2165304,1174
2165305,1174
2165306,1225
2165307,1225
2165308,1225
2165309,1225
2165310,1225
2165311,1225
2165312,1225
2165313,1225
2165314,1294
2165315,1294
2165316,1294
2165317,1294
2165318,1294
2165319,1294
2165320,1294
2165321,1220
2165322,1220
2165323,1220
2165324,1220
2165325,1220
2165326,1220
2165327,1220
2165328,1220
2165329,1182
2165330,1182
2165331,1182
2165332,1182
2165333,1103
2165334,1103
2165335,1103
2165336,1134
2165337,1134
2165346,1102
2165347,1176
2169333,1007
2169334,839
2169550,1288
2169570,1191
2169571,1191
2169572,1191
2169573,1191
2169574,1169
2169575,1169
2169576,1169
2169577,1164
2169578,1164
2169579,1164
2169580,1164
2169581,1177
2169582,1177
2169583,1177
2169584,1177
2169585,1177
2169586,1177
2169587,1177
2169588,1177
2169589,1207
2169590,1207
2169591,1212
2169592,1207
2169593,1212
2169594,1207
2169595,1207
2169596,1196
2169597,1196
2169598,1196
2169599,1196
2169600,1196
2169601,1196
2169602,1196
2169604,1188
2169605,1188
2169606,1188
2169607,1188
2169609,1188
2169610,1188
2169611,1187
2169612,1187
2169613,1187
2169614,1187
2169615,1187
2169616,1187
2169617,1187
2169618,1187
2169619,1174
2169620,1174
2169621,1174
2169622,1174
2169623,1174
2169624,1174
2169625,1174
2169626,1225
2169627,1225
2169628,1225
2169629,1225
2169630,1225
2169631,1225
2169632,1225
2169633,1225
2169634,1294
2169635,1294
2169636,1294
2169637,1294
2169638,1294
2169639,1294
2169640,1294
2169641,1220
2169642,1220
2169643,1220
2169644,1220
2169645,1220
2169646,1220
2169647,1220
2169648,1220
2169649,1182
2169650,1182
2169651,1182
2169652,1182
2169653,1103
2169665,1102
2169667,1176
2173654,839
2173883,1218
2173887,1186
2173891,1191
2173892,1191
2173893,1191
2173894,1169
2173895,1169
2173896,1169
2173897,1164
2173898,1164
2173899,1164
2173900,1164
2173901,1177
2173902,1177
2173903,1177
2173904,1177
2173905,1177
2173906,1177
2173907,1177
2173908,1182
2173909,1212
2173910,1212
2173911,1207
2173912,1207
2173913,1212
2173914,1207
2173915,1207
2173916,1202
2173917,1196
2173918,1196
2173919,1196
2173920,1196
2173921,1196
2173922,1196
2173924,1188
2173925,1188
2173926,1188
2173927,1188
2173928,1188
2173929,1188
2173930,1188
2173931,1187
2173932,1187
2173933,1193
2173934,1187
2173935,1187
2173936,1187
2173937,1187
2173938,1187
2173939,1174
2173940,1174
2173941,1174
2173942,1174
2173943,1174
2173944,1174
2173945,1174
2173946,1225
2173947,1225
2173948,1225
2173949,1225
2173950,1225
2173951,1225
2173952,1225
2173953,1225
2173954,1238
2173955,1294
2173956,1294
2173957,1294
2173958,1294
2173959,1294
2173960,1294
2173961,1220
2173962,1220
2173963,1220
2173964,1220
2173965,1220
2173966,1220
2173967,1220
2173968,1220
2173969,1182
2173970,1182
2173971,1182
2173972,1182
2173973,1103
2177966,1007
2177973,1007
2177974,839
2178199,1218
2178200,1218
2178202,1218
2178203,1218
2178207,1186
2178212,1191
2178213,1191
2178214,1169
2178215,1169
2178216,1169
2178217,1169
2178218,1164
2178219,1164
2178220,1164
2178221,1177
2178222,1177
2178223,1177
2178224,1177
2178225,1177
2178226,1177
2178227,1177
2178228,1177
2178229,1207
2178230,1207
2178231,1212
2178232,1212
2178233,1207
2178234,1212
2178235,1207
2178236,1196
2178237,1202
2178238,1196
2178239,1196
2178240,1196
2178241,1196
2178242,1196
2178243,1196
2178244,1188
2178245,1188
2178246,1188
2178247,1188
2178248,1188
2178249,1188
2178250,1188
2178251,1187
2178252,1187
2178253,1187
2178254,1187
2178255,1187
2178256,1187
2178257,1187
2178258,1187
2178259,1174
2178260,1174
2178261,1174
2178262,1174
2178263,1174
2178264,1174
2178265,1174
2178266,1225
2178267,1225
2178268,1225
2178269,1225
2178270,1225
2178271,1225
2178272,1225
2178273,1225
2178274,1238
2178275,1294
2178276,1294
2178277,1294
2178278,1294
2178279,1294
2178280,1294
2178281,1220
2178282,1220
2178283,1220
2178284,1220
2178285,1220
2178286,1220
2178287,1220
2178288,1220
2178289,1182
2178290,1182
2178291,1182
2178292,1182
2178293,1182
2178294,1103
2178303,1134
2178304,1102
2178305,1102
2178306,1102
2178307,1176
2178308,1176
2178309,1176
2178310,1176
2178311,1137
2178312,1137
2178322,1099
2178323,1029
2178324,1029
2178325,1029
2182293,1007
2182294,839
2182295,839
2182296,839
2182297,839
2182526,1186
2182527,1186
2182528,1191
2182532,1191
2182533,1191
2182534,1169
2182535,1169
2182536,1169
2182537,1169
2182538,1164
2182539,1164
2182540,1164
2182541,1177
2182542,1177
2182543,1177
2182544,1177
2182545,1177
2182546,1177
2182547,1177
2182548,1177
2182549,1212
2182550,1212
2182551,1212
2182552,1212
2182553,1212
2182554,1212
2182555,1207
2182556,1196
2182557,1196
2182558,1196
2182559,1196
2182560,1196
2182561,1196
2182562,1196
2182563,1196
2182564,1188
2182565,1188
2182566,1188
2182567,1188
2182568,1188
2182569,1188
2182570,1188
2182571,1187
2182572,1187
2182573,1187
2182574,1187
2182575,1187
2182576,1187
2182577,1187
2182578,1187
2182579,1174
2182580,1174
2182581,1174
2182582,1174
2182583,1174
2182584,1174
2182585,1174
2182586,1225
2182587,1225
2182588,1225
2182589,1225
2182590,1225
2182591,1225
2182592,1225
2182593,1225
2182594,1238
2182595,1238
2182596,1294
2182597,1294
2182598,1294
2182599,1294
2182600,1294
2182601,1220
2182602,1220
2182603,1220
2182604,1220
2182605,1220
2182606,1220
2182607,1220
2182608,1220
2182609,1182
2182610,1182
2182611,1182
2182612,1182
2182614,1182
2182615,1182
2182622,1134
2182623,1134
2182624,1102
2182625,1102
2182626,1102
2182627,1176
2182628,1176
2182629,1176
2182630,1176
2182631,1137
2182632,1137
2182633,1137
2182643,1029
2182644,1029
2182645,1029
2182646,1003
2182647,1003
2182648,1003
2182649,1003
2186615,839
2186616,839
2186650,1327
2186651,1253
2186677,1094
2186843,1218
2186846,1186
2186847,1186
2186851,1186
2186852,1186
2186853,1186
2186854,1164
2186855,1164
2186856,1164
2186857,1164
2186858,1164
2186859,1164
2186860,1164
2186861,1177
2186862,1177
2186863,1177
2186864,1177
2186865,1177
2186866,1177
2186867,1177
2186868,1177
2186869,1207
2186870,1207
2186871,1207
2186872,1207
2186873,1207
2186874,1207
2186875,1207
2186876,1196
2186877,1196
2186878,1196
2186879,1196
2186880,1196
2186881,1196
2186882,1196
2186883,1196
2186884,1188
2186885,1188
2186886,1188
2186887,1188
2186888,1188
2186889,1188
2186890,1188
2186891,1187
2186892,1187
2186893,1187
2186894,1187
2186895,1187
2186896,1187
2186897,1187
2186898,1187
2186899,1174
2186900,1174
2186901,1174
2186902,1174
2186903,1174
2186904,1174
2186905,1174
2186906,1225
2186907,1225
2186908,1225
2186909,1225
2186910,1225
2186911,1225
2186912,1225
2186913,1225
2186914,1238
2186915,1238
2186916,1238
2186917,1294
2186918,1294
2186919,1294
2186920,1294
2186921,1220
2186922,1220
2186923,1220
2186924,1220
2186925,1220
2186926,1220
2186927,1220
2186928,1220
2186929,1182
2186930,1182
2186931,1182
2186932,1182
2186935,1182
2186936,1209
2186937,1209
2186938,1134
2186939,1134
2186940,1134
2186941,1134
2186942,1134
2186943,1134
2186944,1102
2186945,1102
2186946,1102
2186963,1029
2186964,1029
2186965,1029
2186966,1003
2186967,1003
2186968,1003
2186969,1003
2186996,765
2190933,1053
2190934,880
2190935,880
2190936,880
2190937,880
2190969,1440
2190970,1440
2190971,1417
2190994,1132
2191165,1234
2191166,1239
2191167,1244
2191173,1239
2191174,1257
2191175,1257
2191176,1257
2191177,1257
2191178,1257
2191179,1257
2191180,1257
2191181,1223
2191182,1223
2191183,1223
2191184,1223
2191185,1223
2191186,1223
2191187,1223
2191188,1223
2191189,1207
2191190,1207
2191191,1207
2191192,1207
2191193,1207
2191194,1207
2191195,1207
2191196,1201
2191197,1201
2191198,1201
2191199,1201
2191200,1201
2191201,1201
2191202,1201
2191203,1201
2191204,1199
2191205,1199
2191206,1199
2191207,1199
2191208,1199
2191209,1199
2191210,1199
2191211,1214
2191212,1214
2191213,1214
2191214,1214
2191215,1214
2191216,1214
2191217,1214
2191218,1214
2191219,1204
2191220,1204
2191221,1204
2191222,1204
2191223,1204
2191224,1204
2191225,1204
2191226,1255
2191227,1255
2191228,1255
2191229,1255
2191230,1255
2191231,1255
2191232,1255
2191233,1255
2191234,1273
2191235,1273
2191236,1273
2191237,1331
2191238,1331
2191239,1331
2191240,1331
2191241,1269
2191242,1269
2191243,1269
2191244,1269
2191245,1269
2191246,1269
2191247,1269
2191248,1269
2191249,1190
2191250,1190
2191251,1190
2191252,1190
2191255,1190
2191256,1183
2191257,1183
2191258,1109
2191259,1109
2191260,1109
2191261,1109
2191262,1109
2191263,1109
2191264,1114
2191265,1114
2191266,1114
2191285,1033
2191286,981
2191287,981
2195256,880
2195257,880
2195290,1440
2195291,1417
2195348,948
2195349,948
2195350,948
2195408,1158
2195493,1239
2195494,1257
2195495,1257
2195496,1257
2195497,1257
2195498,1257
2195499,1257
2195500,1257
2195501,1223
2195502,1223
2195503,1223
2195504,1223
2195505,1223
2195506,1223
2195507,1223
2195508,1223
2195509,1207
2195510,1207
2195511,1207
2195512,1207
2195513,1207
2195514,1207
2195515,1207
2195516,1201
2195517,1201
2195518,1201
2195519,1201
2195520,1201
2195521,1201
2195522,1201
2195523,1201
2195524,1199
2195525,1199
2195526,1199
2195527,1199
2195528,1199
2195529,1199
2195530,1199
2195531,1214
2195532,1214
2195533,1214
2195534,1214
2195535,1214
2195536,1214
2195537,1214
2195538,1214
2195539,1204
2195540,1204
2195541,1204
2195542,1204
2195543,1204
2195544,1204
2195545,1204
2195546,1255
2195547,1255
2195548,1255
2195549,1255
2195550,1255
2195551,1255
2195552,1255
2195553,1255
2195554,1273
2195555,1273
2195556,1273
2195557,1331
2195558,1331
2195559,1331
2195560,1331
2195561,1269
2195562,1269
2195563,1269
2195564,1269
2195565,1269
2195566,1269
2195567,1269
2195568,1269
2195569,1190
2195570,1190
2195571,1190
2195572,1190
2195573,1190
2195574,1190
2195575,1190
2195576,1183
2195577,1183
